Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,sentiment_score
2023-01-03,108.0999984741211,118.8000030517578,104.63999938964844,118.47000122070312,231402800,,,,0.0,0.0,0.0
2023-01-04,113.63999938964844,114.58999633789062,107.5199966430664,109.11000061035156,180389000,,,,0.4419373949708358,0.0883874789941671,0.0
2023-01-05,110.33999633789062,111.75,107.16000366210938,110.51000213623048,157986300,,,,0.5199002114605236,0.1746900254874384,0.0
2023-01-06,113.05999755859376,114.38999938964844,101.80999755859376,103.0,220911100,,,,0.7920375558152557,0.2981595315530019,0.0
2023-01-09,119.7699966430664,123.5199966430664,117.11000061035156,118.95999908447266,190284000,,,,1.531495088121588,0.5448266428667191,0.0
2023-01-10,118.8499984741211,122.76000213623048,114.91999816894533,121.06999969482422,167642500,,,,2.01999905479191,0.8398611252517574,0.0
2023-01-11,123.22000122070312,125.9499969482422,120.51000213623048,122.08999633789062,183810800,,,,2.7283143582661893,1.2175517718546438,0.0
2023-01-12,123.55999755859376,124.12999725341795,117.0,122.55999755859376,169400900,,,,3.2792925590732978,1.629899929298375,0.0
2023-01-13,122.4000015258789,122.62999725341795,115.5999984741211,116.5500030517578,180714100,,,,3.5810644851976576,2.0201328404782317,0.0
2023-01-17,131.49000549316406,131.6999969482422,125.0199966430664,125.6999969482422,186477000,,,,4.501814151372557,2.5164691026570964,0.0
2023-01-18,128.77999877929688,136.67999267578125,127.01000213623048,136.55999755859375,195680300,,,,4.955713620330769,3.0043180061918315,0.0
2023-01-19,127.16999816894533,129.99000549316406,124.30999755859376,127.26000213623048,170291900,,,,5.126424396377317,3.4287392842289286,0.0
2023-01-20,133.4199981689453,133.50999450683594,127.3499984741211,128.67999267578125,138858100,,,,5.700326863121731,3.8830568000074894,0.0
2023-01-23,143.75,145.3800048828125,134.27000427246094,135.8699951171875,203119200,,,82.37964996261528,6.909050288112496,4.488255497628491,0.0
2023-01-24,143.88999938964844,146.5,141.10000610351562,143.0,158699100,,,82.4243471505205,7.788488247172793,5.148302047537351,0.0
2023-01-25,144.42999267578125,146.41000366210938,138.07000732421875,141.91000366210938,192734300,,,80.67343274397948,8.431825277841213,5.805006693598124,0.0
2023-01-26,160.27000427246094,161.4199981689453,154.75999450683594,159.97000122070312,234815100,,,89.79754438864394,10.103365753708673,6.664678505620234,0.0
2023-01-27,177.89999389648438,180.67999267578125,161.1699981689453,162.42999267578125,306590600,,,91.75682434802776,12.704220105051633,7.872586825506514,0.0
2023-01-30,166.66000366210938,179.77000427246094,166.5,178.0500030517578,230878800,,,78.5323186184824,13.7005116709679,9.038171794598792,0.0
2023-01-31,173.22000122070312,174.3000030517578,162.77999877929688,164.57000732421875,196813500,134.1959991455078,,80.9588936238464,14.848255447559694,10.200188525190974,0.0
2023-02-01,181.41000366210935,183.80999755859372,169.92999267578125,173.88999938964844,213806300,137.86149940490722,,81.7527060082467,16.231607541952513,11.406472328543282,0.0
2023-02-02,188.2700042724609,196.75,182.6100006103516,187.3300018310547,217448300,141.59299964904784,,82.964855189963,17.677691339331602,12.660716130700946,0.0
2023-02-03,189.97999572753903,199.0,183.69000244140625,183.9499969482422,232662000,145.57499961853028,,84.23505649192361,18.745617378260704,13.877696380212898,0.0
2023-02-06,194.75999450683597,198.1699981689453,189.9199981689453,193.00999450683597,186188100,149.65999946594238,,83.51520269669518,19.749996742969444,15.052156452764208,0.0
2023-02-07,196.80999755859372,197.5,189.5500030517578,196.42999267578125,186010300,153.51199951171876,,86.29041553144161,20.4753654716653,16.136798256544427,0.0
2023-02-08,201.2899932861328,203.0,194.30999755859372,196.1000061035156,180673600,157.63399925231934,,88.3643964025895,21.167715382992355,17.142981681834016,0.0
2023-02-09,207.32000732421875,214.0,204.7700042724609,207.77999877929688,215431400,161.83899955749513,,88.33783830209778,21.94995400734956,18.104376146937128,0.0
2023-02-10,196.88999938964844,206.1999969482422,192.88999938964844,202.22999572753903,204754100,165.50549964904786,,77.53938730455408,21.480653675443197,18.779631652638344,0.0
2023-02-13,194.63999938964844,196.3000030517578,187.6100006103516,194.4199981689453,172475500,169.11749954223632,,75.73790540881453,20.68868727665108,19.161442777440893,0.0
2023-02-14,209.25,209.82000732421875,189.44000244140625,191.94000244140625,216455700,173.00549926757813,,78.76797675181484,20.99790240005683,19.52873470196408,0.0
2023-02-15,214.2400054931641,214.66000366210935,206.1100006103516,211.75999450683597,181006400,177.27849960327148,,76.50525612165066,21.39893574235012,19.902774910041288,0.0
2023-02-16,202.0399932861328,217.6499938964844,201.83999633789065,210.77999877929688,229586500,181.0219993591309,,62.5233421585625,20.496052791821285,20.02143048639729,0.0
2023-02-17,208.30999755859372,208.44000244140625,197.5,199.9900054931641,213738500,184.7664993286133,,72.78195948084414,20.055263894573955,20.02819716803262,0.0
2023-02-21,197.3699951171875,209.7100067138672,197.22000122070312,204.9900054931641,180018600,187.44749908447267,,62.60569164228404,18.608659704600484,19.744289675346195,0.0
2023-02-22,200.8600006103516,201.9900054931641,191.77999877929688,197.92999267578125,191828500,190.2959991455078,,60.67624764287917,17.54162085202924,19.303755910682806,0.0
2023-02-23,202.07000732421875,205.13999938964844,196.3300018310547,203.91000366210935,146360000,193.1779998779297,,58.075839924963375,16.602241991980975,18.76345312694244,0.0
2023-02-24,196.8800048828125,197.6699981689453,192.8000030517578,196.3300018310547,142228100,195.00849990844728,,53.87989460254158,15.263044775910998,18.063371456736157,0.0
2023-02-27,207.6300048828125,209.4199981689453,201.25999450683597,202.02999877929688,161028300,196.49500045776367,,56.7815376649356,14.8974282131677,17.430182808022465,0.0
2023-02-28,205.7100067138672,211.22999572753903,203.75,210.58999633789065,153144900,198.4475006103516,,54.69607637119285,14.288042981436805,16.801754842705332,0.0
2023-03-01,202.7700042724609,207.1999969482422,198.5200042724609,206.2100067138672,156852800,199.92500076293945,,50.79382643098112,13.413247599638764,16.12405339409202,0.0
2023-03-02,190.8999938964844,193.75,186.00999450683597,186.7400054931641,181500700,200.3995002746582,,41.71209180529883,11.628113665392704,15.224865448352157,0.0
2023-03-03,197.7899932861328,200.47999572753903,192.8800048828125,194.8000030517578,154193300,200.8754997253418,,50.47110208590989,10.64661992274577,14.30921634323088,0.0
2023-03-06,193.80999755859372,198.6000061035156,192.3000030517578,198.5399932861328,128100100,201.0669998168945,,49.5732640409428,9.43882180511048,13.335137435606802,0.0
2023-03-07,187.7100067138672,194.1999969482422,186.1000061035156,191.3800048828125,148125800,200.7145004272461,,37.86342993847481,7.898367351485177,12.24778341878248,0.0
2023-03-08,182.0,186.5,180.0,185.0399932861328,151897800,199.9740005493164,,31.980777959126726,6.145949596097154,11.027416654245416,0.0
2023-03-09,172.9199981689453,185.17999267578125,172.50999450683594,180.25,170023800,198.55550079345704,,33.136445413704976,3.9786027801837065,9.617653879433076,0.0
2023-03-10,173.44000244140625,178.2899932861328,168.44000244140625,175.1300048828125,191488900,196.8615005493164,,28.365812447411244,2.276680655203592,8.149459234587178,0.0
2023-03-13,174.47999572753906,177.35000610351562,163.91000366210938,167.4600067138672,167790300,195.74100036621093,,33.80959565838022,1.0002832336120375,6.71962403439215,0.0
2023-03-14,183.25999450683597,183.8000030517578,177.13999938964844,177.30999755859375,143717900,195.1720001220703,,38.41800239626012,0.6892562875954695,5.513550485032814,0.0
2023-03-15,180.4499969482422,182.33999633789065,176.02999877929688,180.8000030517578,145995600,193.7319999694824,170.38359954833984,36.06599003241952,0.2135600854713573,4.453552405120523,0.0
2023-03-16,184.1300048828125,185.80999755859372,178.83999633789062,180.3699951171875,121136800,192.22649993896485,171.90419967651368,41.61956173761224,0.1319917841663596,3.5892402809296904,0.0
