Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,sentiment_score
2023-01-03,122.8767547607422,128.60451337209517,121.99253578697105,127.99539057563403,112117500,,,,0.0,0.0,0.0
2023-01-04,124.14412689208984,126.4037966398773,122.886574422074,124.66483150899292,89113600,,,,0.1011009107627813,0.0202201821525562,0.0
2023-01-05,122.8276138305664,125.52938912334946,122.57217865426507,124.90061292758642,80962700,,,,0.0741378939367223,0.0310037245093894,0.0
2023-01-06,127.34691619873048,128.0051649557748,122.69986796369008,123.800229800476,87754700,,,,0.4126822959472207,0.1073394387969557,0.0
2023-01-09,127.86767578125,131.07051781969213,127.61224055371213,128.1820714377982,70790800,,,,0.7147627793650031,0.2288241069105652,0.0
2023-01-10,128.43751525878906,128.95821998247737,125.87328360443998,127.97575597684494,63896200,,,,0.988747358263936,0.3808087571812394,0.0
2023-01-11,131.1490936279297,131.1687321095965,128.17222961380045,128.94836939344688,69458900,,,,1.4084481106858533,0.5863366278821622,0.0
2023-01-12,131.07044982910156,131.90553475010267,129.13499567218983,131.53220884062074,71379600,,,,1.7149492164011946,0.8120591455859687,0.0
2023-01-13,132.39682006835938,132.55401787873402,129.35119119619432,129.71469801537842,57809700,,,,2.0413491420574275,1.0579171448802605,0.0
2023-01-17,133.55615234375,134.88246968730516,131.77789498509242,132.46561675484807,63646600,,,,2.366294688206068,1.319592653545422,0.0
2023-01-18,132.83892822265625,136.1792989256054,132.6620769549058,134.42069543585905,69672800,,,,2.5367008735263568,1.563014297541609,0.0
2023-01-19,132.89785766601562,133.86066781311564,131.42416224055012,131.72872356322017,58280400,,,,2.646002645272901,1.7796119670878676,0.0
2023-01-20,135.4522705078125,135.59964906296133,131.86628386729487,132.90769302903612,80223600,,,,2.9052548852145605,2.004740550713206,0.0
2023-01-23,138.63546752929688,140.80671912517695,135.4817521326256,135.6978953680963,81760300,,,89.42936096032717,3.329194665968572,2.2696313737642795,0.0
2023-01-24,140.03057861328125,140.64953566811175,137.8396883115422,137.84950755371702,66435100,,,90.11917345851413,3.7346925901709938,2.562643617045622,0.0
2023-01-25,139.37229919433594,139.93229570032543,136.37578195167205,138.41930821894437,65799300,,,86.65995175401379,3.9573174763946497,2.841578388915428,0.0
2023-01-26,141.43548583984375,141.72039372676826,139.41159795380088,140.65933109437518,54105100,,,93.24160590489852,4.251225738161452,3.123507858764633,0.0
2023-01-27,143.3709259033203,144.64813175929368,140.57091324840124,140.64951214628343,70555800,,,92.3192269176444,4.587442805997824,3.416294848211272,0.0
2023-01-30,140.49232482910156,142.99761054282715,140.34496125408572,142.41796049282078,64015300,,,79.64904308912033,4.5689501916185975,3.646825916892737,0.0
2023-01-31,141.7596893310547,141.80881551729502,139.78494257033407,140.19757555057984,65874500,133.39794731140137,,80.29464588087029,4.6034941697779175,3.8381595674697735,0.0
2023-02-01,142.8796844482422,144.0389993752098,138.8417731528238,141.44529588395375,77663600,134.39809379577636,,78.75696315791836,4.667441407943016,4.004015935564422,0.0
2023-02-02,148.1751708984375,148.52884341135578,145.57163330132713,146.2888275489756,118339000,135.59964599609376,,83.39079299093454,5.086784272527353,4.220569602957008,0.0
2023-02-03,151.79063415527344,154.6201342687517,145.23760339877686,145.43409313083382,154357300,137.0477970123291,,84.75341889666721,5.645773223701099,4.505610327105827,0.0
2023-02-06,149.0692138671875,150.41519933800663,148.1358763450209,149.8944947732861,69858300,138.13391189575196,,76.32535112068608,5.802294877865137,4.764947237257688,0.0
2023-02-07,151.93801879882812,152.50784959474225,147.99834440627268,147.99834440627268,83322600,139.33742904663086,,80.20508058529919,6.087653320798438,5.029488453965838,0.0
2023-02-08,149.25587463378906,151.8692315183495,148.5190269025848,151.18150996746658,64120100,140.37834701538085,,73.88805377825295,6.027889565534537,5.229168676279578,0.0
2023-02-09,148.22430419921875,151.6236354399285,147.782198500911,151.0832773681269,56007100,141.23210754394532,,69.51951419723144,5.8300816933759165,5.349351279698846,0.0
2023-02-10,148.58836364746094,148.9130734935689,146.8270751036462,147.0632318137508,57450700,142.10800323486328,,66.64534980158983,5.637706117688339,5.407022247296744,0.0
2023-02-13,151.38282775878906,151.7862414824205,148.49980618651492,148.52932389765635,62199000,143.05730361938475,,68.13673890181192,5.645657363649434,5.454749270567282,0.0
2023-02-14,150.7432403564453,151.3041068890254,148.4407688328002,149.68055772689488,61707600,143.91665802001953,,68.17745857172964,5.536527779373301,5.471104972328486,0.0
2023-02-15,152.839111328125,153.0063833860837,150.42840282421838,150.6547103127393,65573800,144.91666717529296,,68.21067764809084,5.555125045508902,5.487908986964569,0.0
2023-02-16,151.24510192871094,153.82308261470098,150.890874314185,151.04829713189807,68167900,145.83402938842772,,62.71306195290244,5.379231839872631,5.466173557546181,0.0
2023-02-17,150.1036834716797,150.54646418705764,148.43094798353164,149.90689371085574,59144100,146.56660003662108,,66.43998150048597,5.089068661222058,5.390752578281356,0.0
2023-02-21,146.09896850585938,148.87375415444836,146.0300988341385,147.79138776370112,58867200,146.9397750854492,,56.78669632923349,4.48427331131677,5.209456724888439,0.0
2023-02-22,146.5220489501953,147.54536466728035,144.80011234851025,146.4826819914061,51011300,147.26434860229492,,55.82366568949297,3.9930779779041927,4.966180975491589,0.0
2023-02-23,147.00416564941406,147.92909389742377,144.87881554222116,147.68310298099968,48394200,147.64594192504882,,47.78710945046681,3.601192618867316,4.693183304166735,0.0
2023-02-24,144.35733032226562,144.82962872471046,143.3832007915086,144.75090982195374,55469600,147.79203414916992,,35.419231987184816,3.041977139178499,4.362942071169088,0.0
2023-02-27,145.54791259765625,146.77786725557394,145.0854484451516,145.34128862301924,44998500,147.90088348388673,,42.65148128193077,2.664154171200721,4.023184491175415,0.0
2023-02-28,145.04611206054688,146.68932985809187,144.47541123636594,144.69188448050687,50547000,148.128572845459,,34.040789501579425,2.297748621577512,3.678097317255834,0.0
2023-03-01,142.97979736328125,144.8690063216874,142.6846051791963,144.47542675230628,55479000,148.1895782470703,,35.040164805548216,1.819659356175407,3.306409725039749,0.0
2023-03-02,143.57017517089844,144.35734928778834,141.59239813777418,142.0647116163666,52238100,148.22410278320314,,38.667941747529525,1.4714468011981978,2.939417140271439,0.0
2023-03-03,148.60804748535156,148.6867663889097,144.96738452683869,145.66599039801153,70732300,148.24574661254883,,50.03904122026512,1.5837436245063543,2.6682824371184224,0.0
2023-03-06,151.3631591796875,153.79355106354063,150.99909736370918,151.32379221822697,87558000,148.22437286376953,,49.96092805123427,1.8734580955978688,2.509317568814312,0.0
2023-03-07,149.16893005371094,151.55995507278075,148.70646582947896,151.2352451910372,56182000,148.2293586730957,,47.05453789698106,1.9040541971375264,2.388264894478955,0.0
2023-03-08,150.41854858398438,151.00893289820618,149.39523278864294,150.35951315538156,47204800,148.15338516235352,,45.323141184919805,2.006011547515101,2.3118142250861844,0.0
2023-03-09,148.1750946044922,152.0617483379844,147.8208670608722,151.09746808583355,53833600,148.09934616088867,,44.21354402740741,1.8840671422102275,2.2262648085109933,0.0
2023-03-10,146.11866760253906,148.5195423882981,145.24294016157944,147.8012528053786,68572400,147.9940643310547,,42.73934457768085,1.6030103442547556,2.1016139156597458,0.0
2023-03-13,148.05702209472656,150.68420342446277,145.33143838738883,145.43967499711258,84457100,147.96749725341795,,53.85805503492672,1.519167794301694,1.9851246913881355,0.0
2023-03-14,150.14308166503906,150.94009020103195,147.69302061203882,148.8540910683986,73695900,147.90550994873047,,56.69590606973439,1.6025760437445626,1.908614961859421,0.0
