ticker,headline,published_at,url,scraped_at
SYS.KA,Pakistan’s HBL Goes live on Temenos Core Banking,"Thu, 07 May 2026 07:50:00 +0000",https://finance.yahoo.com/sectors/technology/articles/pakistan-hbl-goes-live-temenos-075000254.html?.tsrc=rss,2026-09-13 01:14:15
SYS.KA,Bank ABC moves digital-only unit to Temenos core platform,"Fri, 06 Feb 2026 11:08:26 +0000",https://www.retailbankerinternational.com/news/bank-abc-temenos-core-platform/?.tsrc=rss,2026-09-13 01:14:15
SYS.KA,VPBank completes core banking migration to Temenos platform,"Tue, 11 Nov 2025 09:11:37 +0000",https://www.retailbankerinternational.com/news/vpbank-migration-to-temenos-platform/?.tsrc=rss,2026-09-13 01:14:15
