Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal
2023-01-03,122.8767318725586,128.60448941700523,121.9925130634904,127.99536673400503,112117500,,,,0.0,0.0
2023-01-04,124.14412689208984,126.4037966398773,122.886574422074,124.66483150899292,89113600,,,,0.10110273660079372,0.020220547320158745
2023-01-05,122.8276138305664,125.52938912334946,122.57217865426507,124.90061292758642,80962700,,,,0.07414112946733553,0.031004663749594104
2023-01-06,127.34693145751953,128.00518029343567,122.69988266566685,123.80024463429882,87754700,,,,0.4126878162910401,0.10734129425788332
2023-01-09,127.86766052246094,131.07050217869943,127.61222532540481,128.18205614149144,70790800,,,,0.7147675924440762,0.2288265538951219
2023-01-10,128.43746948242188,128.958174020526,125.87323874198964,127.9757103650532,63896200,,,,0.9887491279176004,0.3808110686996176
2023-01-11,131.14910888671875,131.16874737067045,128.1722445262406,128.94838439618852,69458900,,,,1.408452344623754,0.586339323884445
2023-01-12,131.0705108642578,131.90559617413024,129.13505580606935,131.53227009080283,71379600,,,,1.714958984472176,0.8120632560019911
2023-01-13,132.3968048095703,132.55400260182785,129.35117628841525,129.71468306570503,57809700,,,,2.041357048543901,1.0579220145103732
2023-01-17,133.55613708496094,134.88245427698436,131.77787992946924,132.4656016206527,63646600,,,,2.366301046083734,1.3195978208250454
2023-01-18,132.83892822265625,136.1792989256054,132.6620769549058,134.42069543585905,69672800,,,,2.5367071628774482,1.5630196892355261
2023-01-19,132.8979034423828,133.86071392112063,131.42420750930626,131.72876893688178,58280400,,,,2.6460124609375697,1.7796182435759351
2023-01-20,135.45225524902344,135.59963378756996,131.8662690124696,132.9076780568954,80223600,,,,2.9052624828997295,2.004747091440694
2023-01-23,138.63546752929688,140.80671912517695,135.4817521326256,135.6978953680963,81760300,,,89.42961392545455,3.32920165656256,2.2696380044650675
2023-01-24,140.0305633544922,140.64952034187644,137.83967329148908,137.84949253259393,66435100,,,90.11940606376817,3.7346978082335056,2.562649965218755
2023-01-25,139.372314453125,139.93231102042415,136.37579688239575,138.41932337339787,65799300,,,86.66028475427005,3.9573236807072476,2.8415847083164536
2023-01-26,141.43551635742188,141.72042430582104,139.4116280346841,140.65936144448216,54105100,,,93.24198348525803,4.2512338616980685,3.1235145389927768
2023-01-27,143.37091064453125,144.64811636457318,140.57089828761406,140.64949717713105,70555800,,,92.3196238354167,4.5874486889480295,3.4163013689838277
2023-01-30,140.4923095703125,142.9975950119405,140.34494601130174,142.41794502488958,64015300,,,79.64929808730852,4.568954252081426,3.6468319456033473
2023-01-31,141.75967407226562,141.8088002532181,139.78492752410364,140.19756045993424,65874500,133.39794692993163,,80.29492551565815,4.603496756092937,3.8381649077012656
2023-02-01,142.87969970703125,144.03901475780756,138.84178798038548,141.44531098955775,77663600,134.39809532165526,,78.75722132529742,4.667445244275967,4.004020975016206
2023-02-02,148.1751708984375,148.52884341135578,145.57163330132713,146.2888275489756,118339000,135.59964752197266,,83.3908727664622,5.086787827274833,4.220574345467932
2023-02-03,151.79063415527344,154.6201342687517,145.23760339877686,145.43409313083382,154357300,137.047798538208,,84.75354126858954,5.645776517323242,4.505614779838994
2023-02-06,149.06922912597656,150.41521473457135,148.13589150827315,149.8945101165513,69858300,138.13391342163087,,76.32548470859481,5.8022991465930716,4.76495165318981
2023-02-07,151.93801879882812,152.50784959474223,147.99834440627268,147.99834440627268,83322600,139.33743133544922,,80.20516805343732,6.087657087626326,5.029492740077114
2023-02-08,149.25588989257812,151.8692470443083,148.51904208604415,151.18152542311802,64120100,140.37835235595702,,73.8881156715337,6.027894113434428,5.229173014748577
2023-02-09,148.22433471679688,151.62366665738756,147.78222892746496,151.08330847433277,56007100,141.23211364746095,,69.51964788512332,5.8300880186241955,5.349356015523701
2023-02-10,148.58840942382812,148.9131193699711,146.82712033740432,147.06327712026294,57450700,142.10800857543944,,66.6454858272113,5.637714980588811,5.407027808536723
2023-02-13,151.3828125,151.78622618296893,148.499791218323,148.5293089264892,62199000,143.05730895996095,,68.1368273295814,5.645663244835873,5.454754895796553
2023-02-14,150.74325561523438,151.30412220458746,148.44078385852455,149.68057287811524,61707600,143.91666488647462,,68.17754725099742,5.536533691887598,5.471110655014762
2023-02-15,152.83909606933594,153.00636811059493,150.42838780610393,150.6546952720313,65573800,144.9166732788086,,68.21071991976362,5.555128480738091,5.487914220159428
2023-02-16,151.24508666992188,153.82306709582505,150.8908590911332,151.0482818929642,68167900,145.83403244018555,,62.71312459227696,5.3792332950609705,5.4661780351397375
2023-02-17,150.1036834716797,150.54646418705764,148.43094798353164,149.90689371085574,59144100,146.56660385131835,,66.44010199847054,5.0890697657383726,5.390756381259465
2023-02-21,146.09893798828125,148.87372305726493,146.03006833094608,147.79135689260553,58867200,146.93977737426758,,56.786701617861,4.484271694052268,5.209459443818027
2023-02-22,146.52206420898438,147.54538003263738,144.80012742797703,146.48269724609548,51011300,147.26435241699218,,55.82368842220314,3.9930778982967183,4.966183134713765
2023-02-23,147.0041961669922,147.92912460701393,144.87884561858363,147.68313363952294,48394200,147.64594650268555,,47.78715946373486,3.601194962109389,4.6931855001928895
2023-02-24,144.35733032226562,144.82962872471046,143.38320079150859,144.75090982195374,55469600,147.79203720092772,,35.41919707395624,3.0419789195102567,4.362944184056363
2023-02-27,145.54791259765625,146.77786725557394,145.0854484451516,145.34128862301924,44998500,147.900887298584,,42.651435398623484,2.6641554902172118,4.023186445288533
2023-02-28,145.04608154296875,146.68929899478212,144.47538083886278,144.69185403745792,50547000,148.1285758972168,,34.04071883369727,2.297747129682449,3.6780985821673164
2023-03-01,142.9797821044922,144.86899086128216,142.68458995191014,144.4754113339038,55479000,148.18958129882813,,35.04009206298633,1.8196568962262063,3.306410244979095
2023-03-02,143.5701904296875,144.3573646302391,141.59241318636302,142.0647267151534,52238100,148.22410583496094,,38.667929855847824,1.471446045286342,2.9394174050405444
2023-03-03,148.60806274414062,148.68678165578146,144.96739941181147,145.66600535471582,70732300,148.2457504272461,,50.038980644052245,1.5837442122808625,2.668282766488608
2023-03-06,151.36317443847656,153.7935665673354,150.9991125857975,151.32380747304748,87558000,148.22437744140626,,49.96098881679415,1.8734597294198068,2.509318159074848
2023-03-07,149.1688995361328,151.55992406603715,148.70643540651363,151.23521425072406,56182000,148.22936096191407,,47.0544707513973,1.9040529802172728,2.388265123303333
2023-03-08,150.41854858398438,151.00893289820618,149.39523278864294,150.35951315538156,47204800,148.15338745117188,,45.32321203140874,2.0060105454260224,2.311814207727871
2023-03-09,148.1751251220703,152.06177965604292,147.82089750549494,151.09749920529256,53833600,148.09934921264647,,44.21367357656307,1.8840687543066963,2.2262651170436363
2023-03-10,146.11863708496094,148.5195113692859,145.24290982690115,147.80122193638456,68572400,147.9940643310547,,42.73936164297645,1.603009117229476,2.1016139170808046
2023-03-13,148.05702209472656,150.68420342446277,145.33143838738883,145.43967499711258,84457100,147.9674949645996,,53.85807340756949,1.5191667913271374,1.9851244919300712
2023-03-14,150.14305114746094,150.94005952145656,147.69299059245188,148.85406081281639,73695900,147.90550689697267,,56.695772300007164,1.6025727932875782,1.9086141522015727
2023-03-15,150.53663635253906,150.79246155107444,147.51586009545082,148.76549840164833,77167900,147.8951759338379,142.3581982421875,56.55349645123448,1.6810535485815024,1.8631020314775588
2023-03-16,153.35076904296875,153.9509875803486,149.20827470890512,149.71994010489203,76161100,147.92075958251954,142.9676789855957,66.5820021269293,1.9478732318964092,1.8800562715613292
2023-03-17,152.51438903808594,154.22649145558808,151.80593390078133,153.57707174404283,98944600,147.98422470092774,143.53508422851561,63.014702989799865,2.0680022343103417,1.9176454641111318
2023-03-20,154.87591552734375,155.28919358755078,151.6780327765039,152.5832927983786,73641400,148.22283630371095,144.17605026245118,67.1708760822955,2.3269373010505205,1.9995038314990095
2023-03-21,156.7257537841797,156.84382463636302,154.02968755125636,154.7971931327365,73938300,148.75417709350586,144.76362670898436,74.1946018881789,2.6508542963233026,2.1297739244638683
2023-03-22,155.2989959716797,159.53987720924363,155.27931249330243,156.74542384346483,75701800,149.19302368164062,145.31225341796875,70.05372817830846,2.7606108141715424,2.255941302405403
2023-03-23,156.38136291503906,158.9593583364734,155.15140813839363,156.28297554136526,67622100,149.66188201904296,145.8711312866211,65.3695744389421,2.901485097834353,2.385050061491193
2023-03-24,157.68020629882812,157.76875944157217,155.31869907440637,156.31249715364865,59196500,150.3280258178711,146.4017532348633,63.253433625746155,3.0824027683814563,2.524520602869246
2023-03-27,155.74179077148438,158.19186606543823,155.33836200567538,157.37517430078694,52390300,150.8377197265625,146.8951788330078,63.939898968651804,3.0343888469036813,2.6264942516761334
2023-03-28,155.1218719482422,155.9484128704115,153.4786543640599,155.4367475403247,45992200,151.34150924682618,147.34968017578126,60.248637613504506,2.9127389584569983,2.6837431930323064
2023-03-29,158.19186401367188,158.46737267599337,156.7946372221569,156.8143056879684,51305700,152.10211334228515,147.84239471435546,71.06777109883727,3.029135262375405,2.752821606900926
2023-03-30,159.75636291503906,159.86459953343115,158.68384597812414,158.93967116064357,49501700,152.91142196655272,148.38074340820313,79.28980508900048,3.21061221897466,2.8443797293156727
2023-03-31,162.255615234375,162.3540176143248,159.31357325147573,159.8350728342002,68749800,153.59379959106445,148.96789764404298,79.77700820299025,3.515577401682094,2.9786192637889575
2023-04-03,163.50526428222656,163.62333513475417,161.58653785817188,161.63573905142377,56976200,154.20090408325194,149.52895782470702,79.0417771575402,3.8141337805357978,3.1457221671383255
2023-04-04,162.9739227294922,164.16451047380076,162.46225736922722,163.92836877990578,46278300,154.89115524291992,150.01572692871093,76.87061463947244,3.962193340610071,3.309016401832675
2023-04-05,161.13389587402344,162.4032175003463,159.2053353608918,162.09819114468434,51511700,155.4269226074219,150.43779357910157,67.55422943101686,3.8862584508803195,3.424464811642204
2023-04-06,162.01947021484375,162.31466233453045,159.40212310856722,159.8252203026454,45390100,156.11913986206054,150.89073669433594,71.39049460915238,3.853121565022093,3.510196162318182
2023-04-10,159.431640625,159.431640625,157.5129143705151,158.8314221542027,47716900,156.7847900390625,151.2506591796875,60.14895540855661,3.5768128516695867,3.523519500188463
2023-04-11,158.22137451171875,159.7563555644006,157.93601661540757,159.74652133194326,47644200,157.29300765991212,151.54766845703125,53.42957813008443,3.223024821041406,3.463420564359052
2023-04-12,157.53262329101562,159.46118408911326,157.2177476424543,158.6346580327857,50133100,157.66248626708983,151.8884747314453,55.30131555979195,2.8541677216493895,3.3415699958171197
2023-04-13,162.905029296875,163.14118599216286,158.8314201412513,159.03805912639,68445600,158.28090591430663,152.3113818359375,62.86375882261261,2.9612189892979757,3.265499794513291
2023-04-14,162.56063842773438,163.65283866101953,161.19292957831368,161.95057076563972,49386500,158.74139938354492,152.70500061035156,59.999937469907394,2.983872203857061,3.209174276382045
2023-04-17,162.580322265625,162.73776006518966,161.39956879707992,162.44256794452966,41516200,159.24469604492188,152.9931036376953,65.20783395001234,2.9691864279290314,3.1611767066914425
2023-04-18,163.8004913330078,164.72541991249665,162.9936336312071,163.43642945073645,49923000,159.69092483520507,153.23330078125,68.79804762225827,3.021179019936966,3.1331771693405472
2023-04-19,164.94186401367188,165.46336364998885,162.8853681685066,163.1412083770297,47720200,160.1017303466797,153.5507534790039,65.95351507615253,3.118534238686351,3.130248583209708
2023-04-20,163.97755432128906,165.17799130758831,162.9050374280842,163.4265370188754,52456400,160.53565826416016,153.79154418945313,60.268028808680015,3.0823458535427903,3.1206680372763245
2023-04-21,162.3737335205078,163.78079474740133,161.85223383363555,162.40325123756864,58337300,160.83527679443358,154.05390106201173,50.300408798124195,2.890926560806264,3.0747197419823125
2023-04-24,162.67872619628906,162.94440060882783,161.26181601487568,162.3540163618739,41949600,161.08520278930663,154.34298889160155,47.79176878635339,2.732339048487489,3.0062436032833477
2023-04-25,161.14376831054688,163.6430299514636,161.10440134757968,162.54099521393778,48714100,161.35530166625978,154.59409606933593,45.35930819678474,2.454505023181497,2.8958958872629776
2023-04-26,161.13389587402344,162.62952495549953,160.18929909610858,160.44512426219072,45498800,161.65590286254883,154.7891177368164,50.0,2.2080696805190314,2.7583306459141883
2023-04-27,165.70933532714844,165.85692388096987,162.54097091629146,162.54097091629146,64902300,162.03177642822266,155.0884393310547,58.54995887997974,2.35482269115505,2.6776290549623605
2023-04-28,166.95895385742188,167.12624089927414,165.18783120394306,165.7880496631181,55275900,162.39190597534179,155.37083648681642,68.59509428158728,2.5426492039981667,2.6506330847695216
2023-05-01,166.8704071044922,167.71661652166532,165.93564455408003,166.56538074727197,52472900,162.62264556884764,155.68334289550782,72.61973647559857,2.653767110362395,2.6512598898880966
2023-05-02,165.8372802734375,167.6182676642773,164.85331630714083,167.36242742401706,48425700,162.7392463684082,155.99801483154297,71.33479366652345,2.6281682628956844,2.6466415644896144
2023-05-03,164.7647705078125,168.1791268243892,164.4794275510536,166.7818997315747,65136000,162.82878875732422,156.3713314819336,56.132573889766626,2.492605215766247,2.615834294744941
2023-05-04,163.13131713867188,164.36127162736898,161.67505522800053,162.24575591244712,81235400,162.92865982055665,156.70351654052735,51.734388187610726,2.227685121294428,2.538204460054838
2023-05-05,170.78660583496094,171.504895212846,168.02165491497223,168.23812815446027,113453200,163.3670166015625,157.17916473388672,67.03433491891852,2.605418218249355,2.5516472116937416
2023-05-08,170.71771240234375,171.06210572406735,169.35000337616833,169.7140651629481,55962800,163.9313201904297,157.7063723754883,65.07926370474743,2.866175804221797,2.614552930199353
2023-05-09,169.01547241210938,170.7570775926942,168.84820036158354,170.27494492179522,45326900,164.4710250854492,158.17572357177735,58.66833257138107,2.9020188617687097,2.6720461165132243
2023-05-10,170.77676391601562,171.23922812803062,169.14338031673282,170.24543004162442,53724500,165.13323211669922,158.69033721923827,63.9935683845905,3.0375314756937826,2.745143188349336
2023-05-11,170.9636993408203,171.7902252766967,169.4090348343318,171.0621017201797,49514700,165.5361656188965,159.25001556396484,68.77410326837318,3.1239988113666186,2.8209143129527927
2023-05-12,170.03750610351562,171.50563041723674,168.49053896760506,171.07208510437357,45533100,165.91000900268554,159.7793618774414,65.6580663887859,3.082258388061831,2.8731831279746007
2023-05-15,169.5448455810547,170.66811525184778,168.95364468701064,170.6188460048669,37266700,166.25823516845702,160.19809753417968,68.70558225593726,2.975129770996375,2.893572456578956
2023-05-16,169.5448455810547,170.5991352991019,169.27880367524853,169.46601779285794,42110300,166.5454528808594,160.56173095703124,68.73580080406028,2.857292481033454,2.886316461469856
2023-05-17,170.15576171875,170.3922300756776,167.91906995533154,169.19014751327734,57951600,166.80614776611327,160.9814682006836,62.02928464393192,2.781142131151796,2.8652815954062443
2023-05-18,172.4811248779297,172.66833901247392,170.04737119858373,170.46120584790356,65496700,167.2313262939453,161.4227197265625,64.11784210998545,2.8752853041289086,2.8672823371507774
2023-05-19,172.5895233154297,173.80146880445517,172.37275062180032,173.80146880445517,55809500,167.74211578369142,161.9110076904297,64.60652088516433,2.924924585046824,2.878810786729987
2023-05-22,171.64358520507812,172.14611049896482,170.90459157041087,171.42681253611994,43570900,168.19035873413085,162.42150665283202,64.89553762540103,2.8550238352530926,2.874053396434608
2023-05-23,169.0423126220703,170.83561089353927,168.76642289336164,170.58927970470205,50747300,168.58528594970704,162.8412124633789,60.17549297962746,2.560213482379851,2.811285413623657
2023-05-24,169.3181915283203,169.88968165407772,168.0175707525213,168.57919800904358,45143500,168.99450073242187,163.2247152709961,65.73365897800656,2.322067922281093,2.713441915355144
2023-05-25,170.45135498046875,171.34798918728478,169.17042964019168,169.87986475065702,56058300,169.2316017150879,163.6230096435547,48.72422879453528,2.199419135796404,2.6106373594433965
2023-05-26,172.85552978515625,173.19055165787438,170.56958397024448,170.77650880236848,54835000,169.52643051147462,164.01310485839844,56.90758205046285,2.2700482004823357,2.5425195276511845
2023-05-30,174.69808959960938,176.36329091292328,173.978806707213,174.36308277683443,55964400,169.91781463623047,164.45677886962892,68.19631633259327,2.446499695614534,2.5233155612438547
2023-05-31,174.6488037109375,176.7179916024166,174.16598919362923,174.72763149140792,99625300,170.35839080810547,164.85223663330078,63.92545520397748,2.5529331927543524,2.529239087545954
2023-06-01,177.4471435546875,177.47670209655325,174.33351350934285,175.09221783191245,68901800,170.9925094604492,165.26666442871092,69.62997252998557,2.830457393801197,2.589482748797003
2023-06-02,178.29454040527344,179.11236188910445,176.62933889294345,178.37336820267623,61996900,171.75067062377929,165.7265753173828,75.1197420497685,3.083233569097729,2.6882329128571483
2023-06-05,176.9446258544922,182.23581511366768,175.42721727327233,179.9498694414483,121946500,172.05857162475587,166.13784057617187,71.39579700835093,3.1384555249617563,2.77827743527807
2023-06-06,176.5800323486328,177.47666632929963,174.8261406871695,177.32887364975582,64848400,172.3516876220703,166.51583709716797,69.9215853685937,3.1168703329352354,2.8459960148095034
2023-06-07,175.21046447753906,178.5507149734009,174.71780207381394,175.82136104700194,61944600,172.66143722534179,166.90521057128908,63.7237851323348,2.95518569040064,2.867833949927731
2023-06-08,177.9201202392578,178.18614713091944,174.85575927069235,175.2892895872439,50214900,173.01860504150392,167.36117553710938,64.46530518161882,3.0109872341884056,2.8964646067798663
2023-06-09,178.3043670654297,179.55571862854532,177.97920810525306,178.83643579626113,48900000,173.38563842773436,167.76342559814452,64.97915473489877,3.051045316062158,2.927380748636325
2023-06-12,181.09283447265625,181.19137296447727,178.31422641468646,178.60982685528654,54274900,173.93840484619142,168.19015502929688,72.58584771058183,3.270101950402278,2.9959249889895156
