ticker,headline,published_at,url,scraped_at
HBL.KA,Temenos AI Push And HBL Go Live Feed Valuation Debate,"Mon, 11 May 2026 14:16:15 +0000",https://finance.yahoo.com/markets/stocks/articles/temenos-ai-push-hbl-live-141615638.html?.tsrc=rss,2026-09-13 01:13:31
HBL.KA,Pakistan’s HBL Goes live on Temenos Core Banking,"Thu, 07 May 2026 07:50:00 +0000",https://finance.yahoo.com/sectors/technology/articles/pakistan-hbl-goes-live-temenos-075000254.html?.tsrc=rss,2026-09-13 01:13:31
