Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal
2023-01-02,431.21636962890625,440.2775690123083,429.0075208374093,439.56090950789473,73567,,,,0.0,0.0
2023-01-03,423.5099182128906,431.9526347939303,422.1355294577046,431.9526347939303,189273,,,,-0.6147596571180429,-0.1229519314236086
2023-01-04,424.69775390625,428.02576679465034,420.1819096920124,426.9458792810355,379679,,,,-0.9946470293828611,-0.2972909510154591
2023-01-05,422.86199951171875,428.5166619575574,421.1538327143004,423.6081091287194,138474,,,,-1.4273865231212426,-0.5233100654366158
2023-01-06,425.1886291503906,429.98920797612874,420.1721027711943,422.1355238121812,241503,,,,-1.5645608387985703,-0.7315602201090068
2023-01-09,415.8427734375,425.9642069367924,414.2818572387697,424.0989628605415,478912,,,,-2.399742187564982,-1.065196613600202
2023-01-10,428.7326354980469,431.2163620079912,419.0922306414927,419.0922306414927,594843,,,,-1.9984879552720827,-1.2518548819345783
2023-01-11,425.8954772949219,431.9330211814053,424.1284102780278,429.0075129393536,443762,,,,-1.8876662002460876,-1.3790171455968803
2023-01-12,427.6527404785156,438.82461121297183,423.1172425789504,425.0806636582031,343433,,,,-1.6391476345089018,-1.4310432433792846
2023-01-13,420.34881591796875,428.80135932853545,419.1904046597573,423.12707355048775,137109,,,,-2.008408864080252,-1.5465163675194782
2023-01-16,412.58349609375,421.1538402720942,411.82758972993827,419.1904191053245,81708,,,,-2.894283957396283,-1.8160698854948392
2023-01-17,384.56549072265625,417.2269904611245,382.86712065844364,417.2269904611245,1268802,,,,-5.7904169067493285,-2.610939289745737
2023-01-18,392.3995361328125,393.6659511973746,378.9501188680614,382.8671345809878,264057,,,,-7.368541185839717,-3.562459668964533
2023-01-19,384.7912902832031,396.6110946612534,382.96532289127964,393.17510745502966,196907,,,26.413939998889887,-9.127916957337106,-4.675551126639048
2023-01-20,376.8786926269531,391.3785773352426,373.7372366886223,391.3785773352426,265883,,,24.448314628348015,-11.033527794110398,-5.947146460133318
2023-01-23,382.04248046875,384.8109114044738,370.10487660950304,370.10487660950304,79978,,,30.022679497504896,-11.98886343332947,-7.155489854772549
2023-01-24,386.61724853515625,389.74890752601493,368.68137795852425,384.63417408836665,345277,,,32.23413173448084,-12.235781784305402,-8.17154824067912
2023-01-25,389.5624084472656,396.611083382463,386.7939773581446,388.2665432617924,414048,,,34.623760464798394,-12.054855692687454,-8.948209731080787
2023-01-26,397.4258728027344,404.46475069973025,388.7573817405174,391.7025134203698,1246390,,,37.804037713063686,-11.14844230260536,-9.388256245385701
2023-01-27,390.6520690917969,399.0653356335467,388.7573749345252,397.59276981940076,164850,407.17328491210935,,38.678071134361396,-10.851601996118916,-9.680925395532345
2023-01-30,387.9327392578125,397.43569006232343,386.79395144016695,392.67438796768454,132553,405.0091033935547,,29.817393081763854,-10.71229642085774,-9.887199600597423
2023-01-31,401.274169921875,402.40313101356185,387.92290102861347,389.7194480345337,550034,403.8973159790039,,38.967084403292844,-9.416802752840567,-9.793120231046053
2023-02-01,397.6614990234375,405.338482702049,395.16794584190677,405.338482702049,181757,402.5455032348633,,36.78060977286258,-8.582691115918067,-9.551034408020456
2023-02-02,409.1474914550781,410.8458614766841,394.68691435778226,400.04704552389194,508311,401.8597778320312,,45.23828612809074,-6.915114897390083,-9.023850505894382
2023-02-03,406.02569580078125,411.1403997936119,404.3568057057102,404.3568057057102,124295,400.9016311645508,,47.097678856219176,-5.778836716864589,-8.374847748088424
2023-02-06,415.6366271972656,419.0922376288895,404.4647560828284,410.35501952092784,355686,400.8913238525391,,66.42792947603996,-4.05605060400552,-7.511088319271844
2023-02-07,411.96502685546875,424.0007777463852,408.9806184145845,417.12880394187516,354070,400.05294342041014,,60.82095321039289,-2.952957800923002,-6.599462215602076
2023-02-08,413.24127197265625,415.9016993718968,408.68612030217804,415.057442616786,276397,399.42023315429685,,66.91969249231286,-1.9532506347331946,-5.6702198994283
2023-02-09,422.3220520019531,426.06236669531216,415.2635509495784,415.2635509495784,1162792,399.15369873046876,,76.65557306632317,-0.42335230407377367,-4.620846380357395
2023-02-10,406.6343078613281,422.13552542788966,405.56424698502593,422.13552542788966,1153956,398.46797332763674,,62.839577814382245,-0.47133346017028543,-3.790943796319973
2023-02-13,408.3130798339844,412.3184458399953,402.5013399866621,402.5013399866621,158136,398.25445251464845,,61.68078852375248,-0.3696350808297666,-3.106682053221932
2023-02-14,403.91497802734375,409.37328611208403,400.1452132323782,408.3621254766591,300432,399.2219268798828,,57.608229677765856,-0.6365902259692575,-2.612663687771397
2023-02-15,408.70574951171875,411.3367266350163,398.09346070340257,410.0506881919332,357696,400.0372375488281,,56.18075642817464,-0.4563187229692858,-2.181394694810975
2023-02-16,402.4718933105469,412.2889992478635,401.51963283624997,405.4464752111766,448344,400.9212677001953,,56.51516996783055,-0.8071678267183415,-1.9065493211924485
2023-02-17,403.47320556640625,405.93730861077034,398.5744795549523,398.69228002633685,60049,402.250993347168,,58.731383462101654,-0.9929743482570075,-1.7238343266053604
2023-02-20,401.8043212890625,403.35541078321353,396.130035481736,400.5379062849627,194413,403.2390853881836,,50.3428317921822,-1.2603636810083572,-1.6311401974859598
2023-02-21,405.7900695800781,407.184081810407,399.5562014767008,407.184081810407,82515,404.1977264404297,,55.231242946796506,-1.1375421984845957,-1.532420597685687
2023-02-22,408.0086975097656,409.37328952203103,404.46473688987237,407.4098684691676,570180,405.1200408935547,,49.167854511461286,-0.8513665331876155,-1.3962097847860728
2023-02-23,406.4183349609375,408.2836089457294,400.96985347326944,406.4281616533084,859992,405.56966400146484,,50.29347975842779,-0.7443191750046481,-1.265831662829788
2023-02-24,408.1559753417969,412.2202413152921,398.57447108052895,409.176932711708,393219,406.44485931396486,,43.66266076933498,-0.5133527053055218,-1.1153358713249348
2023-02-27,406.35943603515625,410.3550051173511,402.60929458760097,407.4098735016763,719757,407.366194152832,,45.095325066487234,-0.4698595731044861,-0.9862406116808452
2023-02-28,406.09442138671875,410.2372414292687,402.0105015850092,406.42819940462465,446097,407.6072067260742,,43.63413366503497,-0.4515700019038036,-0.879306489725437
2023-03-01,400.4593811035156,405.937312795365,399.5561942145431,405.937312795365,682583,407.7471008300781,,29.252867371679258,-0.8816133518807305,-0.8797678621564958
2023-03-02,389.5329284667969,403.9738819329158,387.8836320119762,393.67574808985665,368237,406.76637268066406,,32.158976004727236,-2.080120877989657,-1.1198384653231281
2023-03-03,397.3375244140625,399.0653445951448,382.9750940573879,384.83054140540406,324469,406.33196411132815,,39.84740349377572,-2.3728285692847066,-1.3704364861154439
2023-03-06,402.7271423339844,403.4830486957814,397.3473575659794,399.4580293227454,225792,405.6864898681641,,48.921021657185214,-2.145176144986067,-1.5253844178895686
2023-03-07,405.740966796875,409.86416317667545,394.6574760269102,405.9765977062027,271139,405.3752868652344,,47.21708193208706,-1.7019504862310555,-1.560697631557866
2023-03-08,409.3438415527344,411.23853568842776,407.40987060713786,410.1390246865628,355037,405.18041534423827,,56.78556318547206,-1.0478896564116553,-1.458136036528624
2023-03-09,412.6129150390625,414.6254395586084,407.6651156434092,410.35499285164013,583727,404.69495849609376,,58.63796516779267,-0.2627262819297016,-1.2190540856088397
